id,source,timestamp,garment_type,gender,color,pattern,style,engagement_likes,engagement_comments,engagement_views,geography,image_path,image_url,fit,length,neckline,sleeve,fabric,engagement_metric,influence_type,influence_identifier
instagram_79,Facebook,2025-06-13,Jeans,men,white,abstract,streetwear,6698,59,51486,India,img_079.jpg,,Slim fit,full-length,crew neck,half sleeve,viscose,19414.33,designer launches,Dior Haute 2025
instagram_173,Celebrities,2025-04-15,Jeans,men,"blue, pink",stripes,athleisure,804,277,31082,Europe,img_173.jpg,,a-line,midi,boat neck,bell sleeve,viscose,10721.0,franchise,Star Wars New Trilogy 2025
instagram_607,Marketplace,2025-04-29,Jeans,men,yellow,floral,casual,599,48,35923,Europe,img_607.jpg,,straight cut,full-length,square neck,3/4 sleeve,linen,12190.0,designer launches,Dior Haute 2025
instagram_671,Marketplace,2025-07-03,Jeans,men,white,floral,festive,3051,216,9368,Global,img_671.jpg,,relaxed fit,midi,collared,full sleeve,linen,4211.67,books,Book-to-Film Adaptation 2025
instagram_687,Celebrities,2025-01-26,Jeans,men,red,tie-dye,festive,3155,121,1654,Global,img_687.jpg,,regular,maxi,halter,puff sleeve,knits,1643.33,designer launches,Dior Haute 2025
instagram_838,YouTube,2025-01-06,Jeans,men,black,tie-dye,casual,999,350,27712,Global,img_838.jpg,,oversized,midi,square neck,3/4 sleeve,knits,9687.0,franchise,Star Wars New Trilogy 2025
instagram_858,Cinema,2025-02-14,Jeans,men,blue,solid,athleisure,6036,36,12963,US,img_858.jpg,,fit,ankle-length,polo neck,full sleeve,denim,6345.0,designer launches,Dior Haute 2025
instagram_891,Cinema,2025-04-25,Jeans,men,beige,animal print,festive,4539,233,140,Europe,img_891.jpg,,straight cut,full-length,halter,cap sleeve,cotton,1637.33,franchise,Star Wars New Trilogy 2025
instagram_904,YouTube,2025-04-14,Jeans,men,"blue, green",floral,festive,2959,284,32544,Global,img_904.jpg,,oversized,ankle-length,collared,cap sleeve,polyester,11929.0,designer launches,Dior Haute 2025
instagram_957,Facebook,2025-04-19,Jeans,men,red,polka dots,streetwear,1835,34,7067,Europe,img_957.jpg,,relaxed fit,full-length,off-shoulder,bell sleeve,knits,2978.67,event - memes,Super Bowl Halftime Meme 2025
instagram_1118,YouTube,2025-06-04,Jeans,men,green,animal print,casual,2696,2,27813,US,img_1118.jpg,,oversized,mini,off-shoulder,puff sleeve,blends,10170.33,cinemas/series/cartoons/anime,Strange New Worlds Season 3 2025
