id,source,timestamp,garment_type,gender,color,pattern,style,engagement_likes,engagement_comments,engagement_views,geography,image_path,image_url,fit,length,neckline,sleeve,fabric,engagement_metric,influence_type,influence_identifier
instagram_2,YouTube,2024-09-24,Jeans,men,red,checks,formal,4135,55,14639,India,img_002.jpg,,bodycon,full-length,off-shoulder,sleeveless,linen,6276.33,designer launches,Ralph Lauren Spring Collection 2024
instagram_14,Marketplace,2024-10-28,Jeans,men,black,solid,festive,224,120,7681,US,img_014.jpg,,regular,knee-length,off-shoulder,half sleeve,cotton,2675.0,cinemas/series/cartoons/anime,Barbie Movie 2024
instagram_18,Instagram,2024-12-01,Jeans,men,pink,checks,formal,1791,292,19625,Europe,img_018.jpg,,a-line,midi,polo neck,sleeveless,linen,7236.0,trending memes,Vogue Challenge 2024
instagram_34,Marketplace,2024-10-12,Jeans,men,red,tie-dye,athleisure,1013,117,13765,Europe,img_034.jpg,,regular,mini,halter,cap sleeve,polyester,4965.0,trending memes,Cottagecore Revival Meme 2024
instagram_53,YouTube,2024-05-05,Jeans,men,"green, beige",abstract,festive,1123,549,7187,Global,img_053.jpg,,oversized,knee-length,collared,half sleeve,linen,2953.0,event - political,US Presidential Election 2024
instagram_76,Cinema,2024-05-09,Jeans,men,"beige, white",checks,casual,4181,114,12569,Global,img_076.jpg,,Slim fit,maxi,polo neck,sleeveless,viscose,5621.33,franchise,Fast X Sequel 2024
instagram_79,Facebook,2025-06-13,Jeans,men,white,abstract,streetwear,6698,59,51486,India,img_079.jpg,,Slim fit,full-length,crew neck,half sleeve,viscose,19414.33,designer launches,Dior Haute 2025
instagram_89,YouTube,2024-05-02,Jeans,men,red,checks,streetwear,2574,32,939,US,img_089.jpg,,Slim fit,knee-length,crew neck,cap sleeve,polyester,1181.67,cinemas/series/cartoons/anime,One Piece Saga 2024
instagram_92,Facebook,2024-06-21,Jeans,men,pink,abstract,festive,9232,237,51607,Europe,img_092.jpg,,oversized,ankle-length,square neck,puff sleeve,linen,20358.67,trending memes,Galaxy Brain Remix
instagram_118,Cinema,2024-01-19,Jeans,men,beige,checks,formal,5638,403,13225,Global,img_118.jpg,,oversized,maxi,halter,cap sleeve,cotton,6422.0,franchise,Fast X Sequel 2024
instagram_173,Celebrities,2025-04-15,Jeans,men,"blue, pink",stripes,athleisure,804,277,31082,Europe,img_173.jpg,,a-line,midi,boat neck,bell sleeve,viscose,10721.0,franchise,Star Wars New Trilogy 2025
instagram_184,Celebrities,2024-10-29,Jeans,men,green,solid,formal,535,141,171,US,img_184.jpg,,bodycon,ankle-length,halter,cap sleeve,knits,282.33,designer launches,Ralph Lauren Spring Collection 2024
instagram_240,Facebook,2024-04-12,Jeans,men,"red, green",checks,formal,3941,353,20379,Europe,img_240.jpg,,a-line,full-length,crew neck,puff sleeve,denim,8224.33,franchise,Marvel Phase 5 Release 2024
instagram_264,Celebrities,2024-07-20,Jeans,men,blue,stripes,festive,1718,99,594,Global,img_264.jpg,,straight cut,knee-length,v-neck,full sleeve,cotton,803.67,books,Pulitzer Feature 2024
instagram_273,Celebrities,2024-07-30,Jeans,men,green,floral,festive,1293,242,3693,Europe,img_273.jpg,,a-line,mini,halter,3/4 sleeve,linen,1742.67,event - political,US Presidential Election 2024
instagram_363,Celebrities,2024-08-24,Jeans,men,green,abstract,athleisure,5868,143,8464,India,img_363.jpg,,fit,midi,halter,sleeveless,knits,4825.0,franchise,Fast X Sequel 2024
instagram_375,Facebook,2024-07-29,Jeans,men,green,polka dots,festive,596,154,26617,Global,img_375.jpg,,bodycon,ankle-length,square neck,cap sleeve,linen,9122.33,event - political,US Presidential Election 2024
instagram_405,Cinema,2024-11-25,Jeans,men,black,animal print,festive,6019,119,17049,US,img_405.jpg,,straight cut,maxi,polo neck,puff sleeve,denim,7729.0,trending memes,Galaxy Brain Remix
instagram_432,YouTube,2024-10-01,Jeans,men,red,checks,athleisure,267,93,34377,India,img_432.jpg,,bodycon,knee-length,off-shoulder,cap sleeve,knits,11579.0,franchise,Marvel Phase 5 Release 2024
instagram_436,Marketplace,2024-10-20,Jeans,men,"blue, green",animal print,casual,3942,404,17672,Global,img_436.jpg,,Slim fit,maxi,polo neck,sleeveless,knits,7339.33,franchise,Marvel Phase 5 Release 2024
instagram_456,Instagram,2024-10-27,Jeans,men,white,tie-dye,streetwear,3282,300,19873,Global,img_456.jpg,,Slim fit,maxi,off-shoulder,full sleeve,cotton,7818.33,event - political,EU Parliament 2024
instagram_465,Instagram,2024-11-22,Jeans,men,beige,abstract,athleisure,3836,91,5415,US,img_465.jpg,,relaxed fit,ankle-length,off-shoulder,cap sleeve,linen,3114.0,trending memes,Galaxy Brain Remix
instagram_469,Instagram,2024-04-02,Jeans,men,white,solid,streetwear,5014,309,40258,India,img_469.jpg,,oversized,midi,boat neck,bell sleeve,rayon,15193.67,designer launches,Chanel Cruise 2024
