id,source,timestamp,garment_type,gender,color,pattern,style,engagement_likes,engagement_comments,engagement_views,geography,image_path,image_url,fit,length,neckline,sleeve,fabric,engagement_metric,influence_type,influence_identifier
instagram_20,Cinema,2025-04-28,Dress,women,black,graphic prints,streetwear,1827,63,24659,India,img_020.jpg,,relaxed fit,ankle-length,off-shoulder,half sleeve,blends,8849.67,trending memes,Galaxy Brain Remix
instagram_257,Facebook,2025-02-04,Dress,women,blue,stripes,casual,2932,73,17676,Europe,img_257.jpg,,straight cut,ankle-length,halter,bell sleeve,blends,6893.67,designer launches,Prada SS 2025
instagram_380,YouTube,2025-03-17,Dress,women,green,tie-dye,casual,665,94,28048,Europe,img_380.jpg,,relaxed fit,mini,square neck,bell sleeve,denim,9602.33,trending memes,Galaxy Brain Remix
instagram_414,Instagram,2025-09-01,Dress,women,green,graphic prints,casual,1235,630,34794,Global,img_414.jpg,,straight cut,midi,collared,sleeveless,polyester,12219.67,designer launches,Prada SS 2025
instagram_702,Facebook,2025-03-20,Dress,women,"white, beige",polka dots,casual,2578,341,1169,Global,img_702.jpg,,oversized,knee-length,off-shoulder,bell sleeve,polyester,1362.67,trending memes,Galaxy Brain Remix
instagram_740,Instagram,2025-01-26,Dress,women,red,animal print,festive,3424,36,57724,Global,img_740.jpg,,relaxed fit,cropped,halter,sleeveless,blends,20394.67,books,Book-to-Film Adaptation 2025
instagram_755,YouTube,2025-02-02,Dress,women,green,checks,athleisure,1832,52,28638,US,img_755.jpg,,flared,maxi,halter,bell sleeve,jersey,10174.0,trending memes,Distracted Boyfriend Revival
instagram_759,Cinema,2025-08-23,Dress,women,yellow,abstract,streetwear,6784,235,23549,US,img_759.jpg,,bodycon,ankle-length,collared,cap sleeve,knits,10189.33,cinemas/series/cartoons/anime,Strange New Worlds Season 3 2025
instagram_782,Marketplace,2025-02-03,Dress,women,"black, white",stripes,festive,4644,93,11885,US,img_782.jpg,,straight cut,mini,square neck,full sleeve,knits,5540.67,cinemas/series/cartoons/anime,Strange New Worlds Season 3 2025
instagram_955,Facebook,2025-01-14,Dress,women,"pink, green",abstract,athleisure,3022,161,22731,Global,img_955.jpg,,bodycon,maxi,crew neck,3/4 sleeve,polyester,8638.0,designer launches,Prada SS 2025
