id,source,timestamp,garment_type,gender,color,pattern,style,engagement_likes,engagement_comments,engagement_views,geography,image_path,image_url,fit,length,neckline,sleeve,fabric,engagement_metric,influence_type,influence_identifier
instagram_22,Facebook,2025-05-01,Kurti,women,blue,animal print,streetwear,3326,260,483,India,img_022.jpg,,flared,knee-length,collared,half sleeve,rayon,1356.33,cinemas/series/cartoons/anime,Strange New Worlds Season 3 2025
instagram_69,Celebrities,2025-05-17,Kurti,women,pink,graphic prints,streetwear,5010,58,16883,Europe,img_069.jpg,,Slim fit,mini,v-neck,cap sleeve,linen,7317.0,franchise,Star Wars New Trilogy 2025
instagram_138,Cinema,2025-08-20,Kurti,women,green,polka dots,formal,2859,554,32154,India,img_138.jpg,,straight cut,mini,off-shoulder,full sleeve,knits,11855.67,event - memes,Super Bowl Halftime Meme 2025
instagram_332,Facebook,2025-05-02,Kurti,women,blue,abstract,streetwear,72,317,54213,Europe,img_332.jpg,,oversized,knee-length,square neck,half sleeve,denim,18200.67,franchise,Star Wars New Trilogy 2025
instagram_708,Marketplace,2025-07-28,Kurti,women,blue,stripes,formal,536,34,25523,India,img_708.jpg,,straight cut,midi,square neck,puff sleeve,polyester,8697.67,books,Book-to-Film Adaptation 2025
instagram_745,Cinema,2025-08-13,Kurti,women,yellow,floral,formal,5227,15,14711,India,img_745.jpg,,oversized,knee-length,halter,3/4 sleeve,cotton,6651.0,cinemas/series/cartoons/anime,Strange New Worlds Season 3 2025
instagram_987,Facebook,2025-08-06,Kurti,women,red,abstract,festive,784,16,20223,India,img_987.jpg,,relaxed fit,maxi,crew neck,full sleeve,cotton,7007.67,books,Book-to-Film Adaptation 2025
instagram_996,Instagram,2025-05-29,Kurti,women,beige,polka dots,athleisure,1334,110,25058,Global,img_996.jpg,,Slim fit,knee-length,off-shoulder,half sleeve,cotton,8834.0,trending memes,Distracted Boyfriend Revival
instagram_1077,YouTube,2025-02-12,Kurti,women,"green, white",animal print,athleisure,233,428,15004,Global,img_1077.jpg,,fit,mini,boat neck,cap sleeve,cotton,5221.67,event - memes,Super Bowl Halftime Meme 2025
instagram_1247,YouTube,2025-02-13,Kurti,women,"red, black",checks,casual,2216,315,32419,US,img_1247.jpg,,relaxed fit,cropped,collared,bell sleeve,viscose,11650.0,franchise,Star Wars New Trilogy 2025
instagram_1471,Marketplace,2025-01-28,Kurti,women,green,abstract,streetwear,3995,37,16471,India,img_1471.jpg,,regular,full-length,halter,half sleeve,jersey,6834.33,books,Book-to-Film Adaptation 2025
instagram_1654,YouTube,2025-03-25,Kurti,women,yellow,polka dots,festive,2782,174,42387,Global,img_1654.jpg,,straight cut,ankle-length,halter,half sleeve,blends,15114.33,trending memes,Distracted Boyfriend Revival
instagram_1780,Cinema,2025-08-03,Kurti,women,yellow,animal print,festive,895,318,33697,India,img_1780.jpg,,relaxed fit,full-length,off-shoulder,3/4 sleeve,blends,11636.67,designer launches,Prada SS 2025
instagram_1850,Facebook,2025-02-23,Kurti,women,yellow,animal print,festive,1702,104,28065,India,img_1850.jpg,,flared,cropped,boat neck,sleeveless,cotton,9957.0,designer launches,Prada SS 2025
instagram_1871,Facebook,2025-02-05,Kurti,women,green,stripes,streetwear,1601,143,24583,India,img_1871.jpg,,relaxed fit,midi,off-shoulder,cap sleeve,polyester,8775.67,designer launches,Prada SS 2025
instagram_2256,Instagram,2025-05-15,Kurti,women,"blue, yellow",stripes,formal,1470,88,47069,India,img_2256.jpg,,straight cut,mini,off-shoulder,sleeveless,blends,16209.0,franchise,Star Wars New Trilogy 2025
instagram_2265,Cinema,2025-07-23,Kurti,women,blue,abstract,streetwear,3909,107,17002,Global,img_2265.jpg,,straight cut,ankle-length,boat neck,sleeveless,linen,7006.0,event - memes,Super Bowl Halftime Meme 2025
