id,source,timestamp,garment_type,gender,color,pattern,style,engagement_likes,engagement_comments,engagement_views,geography,image_path,image_url,fit,length,neckline,sleeve,fabric,engagement_metric,influence_type,influence_identifier
instagram_20,Cinema,2025-04-28,Dress,women,black,graphic prints,streetwear,1827,63,24659,India,img_020.jpg,,relaxed fit,ankle-length,off-shoulder,half sleeve,blends,8849.67,trending memes,Galaxy Brain Remix
instagram_29,Marketplace,2024-11-06,Dress,women,green,abstract,festive,295,240,2526,Europe,img_029.jpg,,straight cut,maxi,crew neck,half sleeve,linen,1020.33,event - memes,April Fools Viral 2024
instagram_46,Instagram,2024-03-22,Dress,women,green,animal print,athleisure,9760,207,1706,Europe,img_046.jpg,,regular,midi,off-shoulder,half sleeve,blends,3891.0,event - political,India State Elections 2024
instagram_94,YouTube,2024-04-04,Dress,women,red,solid,streetwear,2548,419,26037,Europe,img_094.jpg,,straight cut,maxi,collared,half sleeve,polyester,9668.0,trending memes,Cottagecore Revival Meme 2024
instagram_99,Facebook,2024-02-24,Dress,women,beige,abstract,streetwear,2281,283,39778,US,img_099.jpg,,a-line,full-length,polo neck,cap sleeve,jersey,14114.0,books,Bestseller Book Tour 2024
instagram_100,Marketplace,2024-05-22,Dress,women,"black, white",graphic prints,festive,2860,311,41443,US,img_100.jpg,,relaxed fit,ankle-length,square neck,puff sleeve,jersey,14871.33,event - political,India State Elections 2024
instagram_108,Marketplace,2024-08-28,Dress,women,green,stripes,streetwear,401,176,43734,India,img_108.jpg,,Slim fit,cropped,boat neck,3/4 sleeve,blends,14770.33,cinemas/series/cartoons/anime,One Piece Saga 2024
instagram_122,Instagram,2024-12-25,Dress,women,"beige, red",tie-dye,casual,3066,274,13365,Global,img_122.jpg,,a-line,ankle-length,boat neck,cap sleeve,knits,5568.33,franchise,Marvel Phase 5 Release 2024
instagram_146,Marketplace,2024-05-25,Dress,women,beige,graphic prints,streetwear,6447,400,54213,Global,img_146.jpg,,fit,knee-length,polo neck,sleeveless,linen,20353.33,event - memes,Oscar Memes 2024
instagram_164,Cinema,2024-08-15,Dress,women,pink,abstract,streetwear,1141,39,6210,Global,img_164.jpg,,a-line,full-length,crew neck,bell sleeve,denim,2463.33,designer launches,Gucci FW 2024
instagram_168,YouTube,2024-02-19,Dress,women,black,abstract,festive,602,36,32180,India,img_168.jpg,,a-line,cropped,halter,puff sleeve,polyester,10939.33,designer launches,Gucci FW 2024
instagram_208,Cinema,2024-07-27,Dress,women,black,checks,casual,936,252,47705,US,img_208.jpg,,fit,cropped,halter,bell sleeve,denim,16297.67,trending memes,Galaxy Brain Remix
instagram_215,Facebook,2024-08-17,Dress,women,pink,tie-dye,athleisure,3259,2,10256,US,img_215.jpg,,bodycon,mini,collared,full sleeve,linen,4505.67,books,Bestseller Book Tour 2024
instagram_226,Marketplace,2024-10-26,Dress,women,green,solid,athleisure,6305,251,38223,India,img_226.jpg,,bodycon,ankle-length,boat neck,half sleeve,knits,14926.33,event - political,India State Elections 2024
instagram_237,Celebrities,2024-08-12,Dress,women,beige,tie-dye,formal,700,161,12506,India,img_237.jpg,,regular,maxi,halter,cap sleeve,blends,4455.67,designer launches,Gucci FW 2024
