id,source,timestamp,garment_type,gender,color,pattern,style,engagement_likes,engagement_comments,engagement_views,geography,image_path,image_url,fit,length,neckline,sleeve,fabric,engagement_metric,influence_type,influence_identifier
instagram_414,Instagram,2025-09-01,Dress,women,green,graphic prints,casual,1235,630,34794,Global,img_414.jpg,,straight cut,midi,collared,sleeveless,polyester,12219.67,designer launches,Prada SS 2025
instagram_759,Cinema,2025-08-23,Dress,women,yellow,abstract,streetwear,6784,235,23549,US,img_759.jpg,,bodycon,ankle-length,collared,cap sleeve,knits,10189.33,cinemas/series/cartoons/anime,Strange New Worlds Season 3 2025
instagram_1002,Marketplace,2025-07-26,Dress,women,"red, yellow, black",checks,festive,2994,218,20610,Europe,img_1002.jpg,,a-line,ankle-length,collared,3/4 sleeve,knits,7940.67,designer launches,Prada SS 2025
instagram_1352,Facebook,2025-06-27,Dress,women,black,animal print,formal,912,321,18331,Europe,img_1352.jpg,,straight cut,knee-length,collared,cap sleeve,rayon,6521.33,event - memes,Super Bowl Halftime Meme 2025
instagram_1558,Celebrities,2025-08-30,Dress,women,white,polka dots,streetwear,3802,108,30734,Global,img_1558.jpg,,bodycon,mini,off-shoulder,bell sleeve,knits,11548.0,books,Book-to-Film Adaptation 2025
instagram_1671,Celebrities,2025-08-26,Dress,women,pink,graphic prints,streetwear,9090,17,48222,Global,img_1671.jpg,,Slim fit,full-length,square neck,cap sleeve,jersey,19109.67,designer launches,Dior Haute 2025
instagram_1832,Cinema,2025-07-31,Dress,women,black,tie-dye,festive,610,176,6816,Europe,img_1832.jpg,,fit,mini,crew neck,sleeveless,denim,2534.0,franchise,Star Wars New Trilogy 2025
instagram_1946,YouTube,2025-08-28,Dress,women,green,animal print,casual,1182,214,50568,India,img_1946.jpg,,fit,mini,boat neck,half sleeve,cotton,17321.33,books,Book-to-Film Adaptation 2025
instagram_2403,YouTube,2025-07-21,Dress,women,"white, beige",checks,festive,1985,101,42100,Global,img_2403.jpg,,Slim fit,maxi,halter,bell sleeve,knits,14728.67,designer launches,Prada SS 2025
instagram_2419,Facebook,2025-07-02,Dress,women,white,tie-dye,festive,5152,199,13331,Global,img_2419.jpg,,Slim fit,cropped,collared,full sleeve,cotton,6227.33,cinemas/series/cartoons/anime,Strange New Worlds Season 3 2025
instagram_2545,Facebook,2025-07-10,Dress,women,black,tie-dye,athleisure,475,119,13994,US,img_2545.jpg,,straight cut,cropped,boat neck,puff sleeve,linen,4862.67,trending memes,Galaxy Brain Remix
instagram_2613,Celebrities,2025-06-28,Dress,women,yellow,animal print,festive,817,32,11840,Europe,img_2613.jpg,,Slim fit,maxi,collared,cap sleeve,cotton,4229.67,cinemas/series/cartoons/anime,Strange New Worlds Season 3 2025
instagram_2992,Marketplace,2025-07-04,Dress,women,yellow,solid,athleisure,1,625,10883,US,img_2992.jpg,,regular,midi,boat neck,half sleeve,linen,3836.33,franchise,Star Wars New Trilogy 2025
instagram_3006,Facebook,2025-07-07,Dress,women,white,floral,athleisure,9419,17,7372,Global,img_3006.jpg,,fit,knee-length,collared,half sleeve,polyester,5602.67,cinemas/series/cartoons/anime,Strange New Worlds Season 3 2025
instagram_3037,Cinema,2025-08-29,Dress,women,yellow,graphic prints,casual,822,150,24888,Europe,img_3037.jpg,,relaxed fit,full-length,v-neck,sleeveless,blends,8620.0,franchise,Star Wars New Trilogy 2025
instagram_3599,Celebrities,2025-07-20,Dress,women,pink,floral,athleisure,588,205,6857,Global,img_3599.jpg,,flared,full-length,off-shoulder,puff sleeve,jersey,2550.0,designer launches,Prada SS 2025
instagram_4162,Marketplace,2025-07-21,Dress,women,beige,checks,streetwear,3923,2,17880,US,img_4162.jpg,,Slim fit,maxi,boat neck,bell sleeve,blends,7268.33,designer launches,Prada SS 2025
instagram_4286,Celebrities,2025-07-06,Dress,women,red,checks,casual,3563,216,1670,India,img_4286.jpg,,bodycon,cropped,collared,full sleeve,cotton,1816.33,designer launches,Dior Haute 2025
instagram_4470,Instagram,2025-08-12,Dress,women,blue,checks,streetwear,828,207,58857,US,img_4470.jpg,,a-line,maxi,v-neck,full sleeve,knits,19964.0,designer launches,Dior Haute 2025
instagram_4860,Celebrities,2025-08-13,Dress,women,black,floral,festive,707,142,51988,US,img_4860.jpg,,oversized,midi,halter,3/4 sleeve,linen,17612.33,trending memes,Distracted Boyfriend Revival
instagram_5084,Facebook,2025-06-26,Dress,women,pink,checks,athleisure,517,390,45615,US,img_5084.jpg,,flared,mini,boat neck,3/4 sleeve,knits,15507.33,event - memes,Super Bowl Halftime Meme 2025
instagram_5135,Facebook,2025-07-14,Dress,women,black,tie-dye,streetwear,1871,412,8859,Global,img_5135.jpg,,oversized,knee-length,off-shoulder,full sleeve,blends,3714.0,franchise,Star Wars New Trilogy 2025
instagram_5605,Facebook,2025-07-27,Dress,women,yellow,animal print,athleisure,2673,484,49116,Europe,img_5605.jpg,,relaxed fit,maxi,boat neck,puff sleeve,linen,17424.33,franchise,Star Wars New Trilogy 2025
