id,source,timestamp,garment_type,gender,color,pattern,style,engagement_likes,engagement_comments,engagement_views,geography,image_path,image_url,fit,length,neckline,sleeve,fabric,engagement_metric,influence_type,influence_identifier
instagram_1,Marketplace,2024-12-09,T-Shirt,unisex,blue,checks,streetwear,5656,73,31,Europe,img_001.jpg,,flared,cropped,square neck,cap sleeve,knits,1920.0,books,Bestseller Book Tour 2024
instagram_6,Cinema,2024-01-03,T-Shirt,unisex,beige,animal print,casual,3689,165,23315,US,img_006.jpg,,oversized,full-length,crew neck,cap sleeve,polyester,9056.33,trending memes,Galaxy Brain Remix
instagram_36,Celebrities,2024-04-08,T-Shirt,unisex,"red, yellow",checks,athleisure,847,79,38220,Europe,img_036.jpg,,fit,cropped,crew neck,full sleeve,denim,13048.67,cinemas/series/cartoons/anime,One Piece Saga 2024
instagram_47,Instagram,2024-04-16,T-Shirt,unisex,"green, red",stripes,formal,840,403,10469,India,img_047.jpg,,relaxed fit,ankle-length,halter,half sleeve,blends,3904.0,designer launches,Zara Designer Collab 2024
instagram_56,Celebrities,2024-03-21,T-Shirt,unisex,green,solid,streetwear,304,130,14683,Europe,img_056.jpg,,oversized,mini,crew neck,3/4 sleeve,viscose,5039.0,franchise,Marvel Phase 5 Release 2024
instagram_60,Marketplace,2024-06-06,T-Shirt,unisex,beige,animal print,festive,2292,116,13298,India,img_060.jpg,,a-line,full-length,halter,sleeveless,blends,5235.33,franchise,Fast X Sequel 2024
instagram_75,Facebook,2024-02-22,T-Shirt,unisex,pink,stripes,festive,8291,390,43375,India,img_075.jpg,,Slim fit,knee-length,polo neck,sleeveless,cotton,17352.0,designer launches,Zara Designer Collab 2024
instagram_90,YouTube,2024-02-17,T-Shirt,unisex,white,solid,streetwear,2543,181,20561,Global,img_090.jpg,,oversized,full-length,off-shoulder,cap sleeve,viscose,7761.67,books,Bestseller Book Tour 2024
instagram_97,Celebrities,2024-05-01,T-Shirt,unisex,green,solid,athleisure,3489,106,37411,Europe,img_097.jpg,,oversized,mini,boat neck,cap sleeve,jersey,13668.67,event - political,US Presidential Election 2024
instagram_110,Celebrities,2025-07-02,T-Shirt,unisex,"pink, beige",animal print,streetwear,5606,142,11096,US,img_110.jpg,,flared,knee-length,halter,bell sleeve,denim,5614.67,franchise,Star Wars New Trilogy 2025
instagram_112,Marketplace,2024-03-13,T-Shirt,unisex,beige,abstract,streetwear,3539,228,5271,Global,img_112.jpg,,a-line,full-length,boat neck,sleeveless,rayon,3012.67,event - memes,Oscar Memes 2024
instagram_185,Marketplace,2024-12-13,T-Shirt,unisex,red,solid,formal,838,157,2274,Europe,img_185.jpg,,straight cut,mini,polo neck,sleeveless,linen,1089.67,designer launches,Ralph Lauren Spring Collection 2024
instagram_197,Instagram,2025-02-21,T-Shirt,unisex,blue,animal print,casual,6079,194,32540,Global,img_197.jpg,,a-line,full-length,v-neck,cap sleeve,jersey,12937.67,designer launches,Dior Haute 2025
